gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport
6590-8251,LPL,Vici Gaming,Rogue Warriors,Jayce,Volibear,Galio,Ashe,Nautilus,Renekton,Olaf,Leblanc,Kalista,Thresh
ESPORTSTMNT06/1310110,TCL,Papara SuperMassive,Beşiktaş Esports,Ornn,Olaf,Velkoz,Kalista,Blitzcrank,Mordekaiser,Sett,Lucian,Cassiopeia,TahmKench
ESPORTSTMNT01/1314325,PCS,Nova Esports,Talon Esports,Aatrox,Skarner,Azir,MissFortune,Sett,Ornn,LeeSin,Taliyah,Aphelios,Bard
ESPORTSTMNT06/1300853,TCL,Galakticos,Royal Youth,Renekton,Nidalee,Ekko,Varus,Nautilus,Ornn,MonkeyKing,Orianna,Sivir,Karma
ESPORTSTMNT03/1401724,OPL,ORDER,Pentanet.GG,Sion,Trundle,Zoe,Aphelios,Thresh,Volibear,Kayn,Orianna,Vayne,Yuumi
ESPORTSTMNT01/1321275,PCS,Nova Esports,Alpha Esports,Fiora,Elise,Pantheon,Kalista,Thresh,Aatrox,LeeSin,Sylas,MissFortune,Nautilus
ESPORTSTMNT03/1412926,BRCC,Havan Liberty Gaming,Team oNe eSports,Ornn,LeeSin,Leblanc,Ezreal,Bard,Gangplank,JarvanIV,Azir,Kaisa,Leona
6364-8194,LDL,Oh My Dream,FunPlus Phoenix Blaze,MonkeyKing,Trundle,Karma,Sivir,TahmKench,Renekton,LeeSin,Orianna,Varus,Alistar
ESPORTSTMNT02/1321186,PCS,Nova Esports,Resurgence,Fiora,Sejuani,Leblanc,Aphelios,Braum,Ornn,RekSai,Diana,MissFortune,Bard
ESPORTSTMNT01/1370145,CBLOL,KaBuM! e-Sports,paiN Gaming,Jayce,Trundle,Syndra,Aphelios,Braum,Sett,Graves,Zoe,Jhin,Thresh
6105-7606,LDL,LinGan e-Sports,Legend Esport Gaming,Ornn,LeeSin,Galio,Varus,Braum,Vladimir,Nidalee,Yasuo,Ezreal,Taric
ESPORTSTMNT02/1283653,CK,OZ Gaming,Spear Gaming,Gangplank,JarvanIV,Malzahar,MissFortune,Nautilus,Aatrox,LeeSin,Zoe,Kaisa,Thresh
ESPORTSTMNT03/1432046,PCS,ahq eSports Club,Berjaya Dragons,Jayce,Ekko,Sett,Ezreal,Leona,Ornn,Trundle,Orianna,Senna,Morgana
6322-8029,LDL,Joy Dream,Rogue Warriors Shark,Mordekaiser,LeeSin,Ekko,Ezreal,Yuumi,Akali,Trundle,Syndra,Sivir,Nautilus
ESPORTSTMNT02/1271446,VCS,EVOS Esports,Team Flash,Akali,Kindred,Orianna,Varus,TahmKench,Jayce,JarvanIV,Ryze,Xayah,Blitzcrank
ESPORTSTMNT04/1230448,TRA,Galakticos Academy,Galatasaray Academy,Sett,Gragas,Orianna,Aphelios,Thresh,Mordekaiser,LeeSin,Ornn,Senna,Nautilus
6438-8446,LDL,LNG Academy,JingNetGame,Ornn,Graves,TwistedFate,Ezreal,Karma,Poppy,Nidalee,Zoe,Kaisa,Thresh
6543-8812,LDL,Team WE Academy,Bilibili Gaming Junior,Renekton,Olaf,Galio,Jhin,Lux,Volibear,Trundle,Qiyana,Ashe,Karma
6348-8129,LDL,Top Esports Challenger,EDG Youth Team,Darius,Ekko,Talon,Aphelios,Nautilus,Camille,Graves,Galio,Ashe,Thresh
6173-7784,LDL,WanZhen Esports Club,Gama Dream,Aatrox,Graves,Zoe,Aphelios,Braum,Mordekaiser,LeeSin,Corki,Varus,Nautilus
ESPORTSTMNT01/1303861,LCS.A,Team Liquid Academy,FlyQuest Academy,Soraka,Sejuani,Yasuo,Varus,TahmKench,Irelia,JarvanIV,Azir,MissFortune,Braum
5657-7256,LPL,Rogue Warriors,eStar,Ornn,Taliyah,Pantheon,MissFortune,Thresh,Renekton,Qiyana,Ryze,Senna,TahmKench
ESPORTSTMNT03/1401425,OPL,MAMMOTH,Pentanet.GG,Neeko,LeeSin,Orianna,Ezreal,Thresh,Sion,Volibear,Ekko,Aphelios,Nautilus
ESPORTSTMNT04/1230431,TRA,İstanbul Wildcats Academy,SuperMassive Academy,Gragas,LeeSin,Azir,Aphelios,Nautilus,Sett,Graves,Leblanc,Xayah,Rakan
ESPORTSTMNT05/1530387,LCL,Gambit Esports,One Breath Gaming,Vladimir,Volibear,Irelia,Ashe,Thresh,Gangplank,Olaf,Veigar,Caitlyn,Karma
6370-8205,LDL,WanZhen Esports Club,V5 87,Renekton,LeeSin,Orianna,Aphelios,Nautilus,Jayce,Volibear,Fiddlesticks,Ashe,TahmKench
ESPORTSTMNT06/1190204,EM,Vipers Inc,ASUS ROG ELITE,Ornn,JarvanIV,Azir,Kalista,Taric,Renekton,Gragas,Tristana,Syndra,Sett
ESPORTSTMNT03/1392248,Riot,Team Flash,GAM Esports,Aatrox,Nidalee,Malzahar,Kalista,Taric,Irelia,Graves,Karma,Aphelios,Nautilus
ESPORTSTMNT04/1150486,LEC,Misfits Gaming,MAD Lions,Camille,JarvanIV,Orianna,MissFortune,Nautilus,Aatrox,Gragas,Qiyana,Kalista,Taric
ESPORTSTMNT03/1334908,PCS,Machi Esports,Berjaya Dragons,Gangplank,LeeSin,Zoe,Senna,TahmKench,Renekton,RekSai,Syndra,Varus,Nautilus
6536-8793,LDL,WanZhen Esports Club,Joy Dream,Karma,Sylas,Pantheon,Caitlyn,TahmKench,Lucian,Sett,Leblanc,Ashe,Nautilus
ESPORTSTMNT01/1414076,LCS,Evil Geniuses,Counter Logic Gaming,Poppy,Trundle,TwistedFate,Aphelios,Lulu,Jayce,Nidalee,Cassiopeia,Ezreal,Yuumi
ESPORTSTMNT01/1403464,LCS.A,FlyQuest Academy,Immortals Academy,Sett,Nocturne,Syndra,Kaisa,Nautilus,Aatrox,LeeSin,Jayce,Ezreal,Yuumi
ESPORTSTMNT01/1306181,VCS,V Gaming Adonis,GAM Esports,Mordekaiser,Graves,Soraka,Aphelios,Nautilus,Aatrox,RekSai,Syndra,MissFortune,Shen
ESPORTSTMNT02/1286670,LCK,DRX,SeolHaeOne Prince,Aatrox,Kindred,Sylas,Aphelios,Braum,Ornn,RekSai,Azir,MissFortune,Nautilus
ESPORTSTMNT01/1415539,PCS,Berjaya Dragons,ahq eSports Club,Sylas,Trundle,Syndra,Ashe,Nautilus,MonkeyKing,RekSai,Galio,Aphelios,Thresh
ESPORTSTMNT03/1405938,VCS,OverPower Esports,Percent Esports,Renekton,Nidalee,Ryze,Ashe,Pantheon,MonkeyKing,RekSai,Karma,Senna,TahmKench
ESPORTSTMNT02/1294655,LCK,Afreeca Freecs,KT Rolster,Lucian,Karthus,Soraka,Aphelios,Braum,Sett,Sejuani,Nautilus,Kaisa,Rakan
6356-8164,LDL,Invictus Gaming Young,LNG Academy,Renekton,Ekko,Jayce,Ezreal,Nautilus,Volibear,Trundle,Syndra,Aphelios,Leona
ESPORTSTMNT02/1394776,VCS,OverPower Esports,Team Secret,MonkeyKing,Nidalee,Ryze,Kaisa,Nautilus,Jax,Graves,Orianna,Aphelios,Braum
ESPORTSTMNT04/1250224,LEC,SK Gaming,FC Schalke 04 Esports,Kennen,Trundle,Orianna,Aphelios,Bard,Jayce,Olaf,Syndra,Ezreal,Nautilus
6345-8115,LDL,Legend Esport Gaming,Dominus Esports Young,Yasuo,Taliyah,Renekton,Varus,Braum,Volibear,Sylas,Sett,Sivir,Yuumi
ESPORTSTMNT02/1405497,LFL,GamersOrigin,Misfits Premier,MonkeyKing,LeeSin,Syndra,Ezreal,Yuumi,Renekton,Volibear,Orianna,Caitlyn,Pyke
ESPORTSTMNT02/1296532,CK,Seorabeol Gaming,Team Dynamics,Mordekaiser,Olaf,Syndra,Ezreal,Yuumi,Sett,Trundle,Viktor,MissFortune,Bard
6011-7446,LPL,Royal Never Give Up,EDward Gaming,Ornn,JarvanIV,Kassadin,Senna,Nautilus,Mordekaiser,RekSai,Azir,Varus,Braum
6573-8899,LDL,LGD Gaming Young Team,Bilibili Gaming Junior,Gnar,Graves,Akali,Ashe,Karma,Lucian,Nidalee,Renekton,Jhin,Lux
ESPORTSTMNT02/1324779,LCK,Hanwha Life Esports,SeolHaeOne Prince,Gnar,Elise,Zoe,Kalista,Taric,Rumble,Trundle,Irelia,MissFortune,Braum
ESPORTSTMNT02/1295294,LCS.A,Team Liquid Academy,Dignitas Academy,Gangplank,Gragas,Zoe,MissFortune,Braum,Ornn,JarvanIV,Syndra,Varus,TahmKench
6376-8231,LDL,Dominus Esports Young,Victorious Gaming,Ornn,Khazix,Leblanc,Kalista,Nautilus,Mordekaiser,Graves,Syndra,Aphelios,Poppy
6708-8951,LDL,Suning-S,LGD Gaming Young Team,Renekton,Nidalee,Lucian,Kalista,Leona,Ornn,Graves,Akali,Xayah,Alistar
ESPORTSTMNT04/1180143,TCL,Dark Passage,İstanbul Wildcats,Ornn,Nidalee,Azir,Varus,Braum,Vladimir,Graves,Kassadin,MissFortune,Thresh
ESPORTSTMNT02/1323113,CK,Asura,Jin Air Green Wings,Kled,RekSai,Sylas,Kaisa,Sett,Aatrox,LeeSin,Leblanc,Ezreal,TahmKench
ESPORTSTMNT05/1440187,LEC,G2 Esports,Misfits Gaming,Bard,Shyvana,Zed,Aatrox,Swain,Teemo,Ornn,Leblanc,Quinn,Annie
,LPL,JD Gaming,Top Esports,Renekton,Nidalee,Pantheon,Kaisa,Leona,Fiora,Graves,Zoe,Jhin,Thresh
ESPORTSTMNT01/1370398,BRCC,Intergalaxy Tigers Gaming,Falkol,Irelia,Elise,Talon,Varus,Fiddlesticks,Jayce,Gragas,Lissandra,Ezreal,Thresh
ESPORTSTMNT02/1385309,CBLOL,Flamengo Esports,paiN Gaming,Renekton,Elise,TwistedFate,Ezreal,Nautilus,Mordekaiser,Graves,Leblanc,Kalista,Leona
ESPORTSTMNT01/1380321,BRCC,Rensga eSports,Havan Liberty Academy,Sett,Sejuani,Diana,Kalista,Taric,Gangplank,Olaf,Leblanc,MissFortune,Nautilus
ESPORTSTMNT03/1415705,LCK,T1,Gen.G,Karma,Jax,Akali,Kalista,Rakan,Neeko,Volibear,Orianna,Ezreal,TahmKench
ESPORTSTMNT01/1325858,LCK,SeolHaeOne Prince,SANDBOX Gaming,Ornn,JarvanIV,Zoe,Ezreal,Braum,Aatrox,Sejuani,Azir,Caitlyn,Nautilus
6514-8719,LDL,Royal Club,Joy Dream,Camille,Graves,Galio,Caitlyn,Lux,Poppy,Nidalee,Renekton,Ezreal,Bard
ESPORTSTMNT02/1403535,LCS.A,Team Liquid Academy,TSM Academy,Lillia,Karthus,Kalista,Jhin,Thresh,Jayce,Skarner,Leblanc,Caitlyn,Morgana
6588-8238,LPL,Team WE,Dominus Esports,Ornn,Graves,Karma,Aphelios,Leona,Volibear,Trundle,Orianna,Ashe,Thresh
ESPORTSTMNT05/1440444,LEC,Fnatic,Origen,Zac,Gragas,Yasuo,Senna,Zilean,Gangplank,Trundle,Ornn,Ezreal,Yuumi
ESPORTSTMNT01/1421230,OCS,Chiefs Academy,Dire Cubs,Sion,Volibear,Syndra,Kaisa,Nautilus,Ornn,Trundle,Orianna,Ezreal,Karma
6293-7938,LDL,Suning-S,Victorious Gaming,Ornn,LeeSin,Syndra,Ezreal,Yuumi,Camille,Trundle,Zoe,Aphelios,Bard
ESPORTSTMNT05/1520239,TCL,Dark Passage,Papara SuperMassive,Ornn,Graves,Orianna,Varus,Thresh,Aatrox,Trundle,Zoe,MissFortune,Morgana
ESPORTSTMNT06/1300316,LEC,G2 Esports,Misfits Gaming,MonkeyKing,Volibear,KogMaw,Ezreal,TahmKench,Mordekaiser,Sett,Azir,Kaisa,Leona
ESPORTSTMNT06/1190201,EM,Defusekids,For The Win Esports,Aatrox,LeeSin,Azir,Senna,TahmKench,Renekton,Shyvana,Tristana,Ziggs,Nautilus
ESPORTSTMNT01/1321751,CBLOL,Redemption eSports Porto Alegre,Flamengo Esports,Renekton,Sejuani,Ekko,Senna,Morgana,Sett,Karthus,Irelia,Varus,Nautilus
6415-8368,LDL,Joy Dream,eStar Young,Volibear,Trundle,Orianna,Aphelios,Thresh,Olaf,Taliyah,TwistedFate,Ashe,Nautilus
ESPORTSTMNT01/1431769,OPL,Chiefs Esports Club,Legacy Esports,Kayle,RekSai,TwistedFate,Senna,Nautilus,Irelia,Olaf,Karma,Ashe,Braum
ESPORTSTMNT03/1411330,VCS,GAM Esports,Saigon Buffalo,Jayce,Elise,Renekton,Kalista,Sett,Kennen,Trundle,Fiddlesticks,Ashe,Karma
ESPORTSTMNT05/1540057,TRA,Beşiktaş Academy,SuperMassive Academy,Ornn,Graves,Jayce,Karthus,Leona,Sylas,LeeSin,Syndra,Ashe,Bard
ESPORTSTMNT04/1240386,LEC,SK Gaming,Excel Esports,Kennen,Nocturne,Zoe,Aphelios,Bard,Vladimir,Sett,Leblanc,Senna,Thresh
6709-8958,LDL,Team WE Academy,Top Esports Challenger,Mordekaiser,Volibear,Diana,Caitlyn,Bard,Vayne,Trundle,Qiyana,Ziggs,Karma
ESPORTSTMNT03/1414307,LLA,Rainbow7,Isurus,Aatrox,LeeSin,Syndra,Aphelios,Bard,Camille,Volibear,Rumble,Senna,Sett
6092-7645,LPL,Vici Gaming,Victory Five,Aatrox,Trundle,Corki,Senna,TahmKench,Renekton,LeeSin,Neeko,Pyke,Kassadin
ESPORTSTMNT02/1384863,LCK,DAMWON Gaming,KT Rolster,Sett,Fiddlesticks,Jayce,Ezreal,Bard,Ornn,Trundle,Lulu,Aphelios,Yuumi
ESPORTSTMNT06/1210137,EM,FC Schalke 04 Evolution,Movistar Riders,Aatrox,LeeSin,Syndra,Aphelios,TahmKench,Ornn,Olaf,Zilean,MissFortune,Thresh
ESPORTSTMNT02/1394605,LCS,Team Liquid,Cloud9,Aatrox,Graves,TwistedFate,Kaisa,Nautilus,Sett,LeeSin,Zoe,Cassiopeia,Thresh
ESPORTSTMNT01/1425804,LCK,DRX,DAMWON Gaming,Renekton,Olaf,TwistedFate,Xayah,Rakan,Camille,Karthus,Galio,Senna,TahmKench
ESPORTSTMNT06/1320690,LEC,MAD Lions,FC Schalke 04 Esports,Mordekaiser,LeeSin,Akali,Ashe,Nautilus,Camille,Skarner,Orianna,Senna,Braum
6480-8596,LDL,Invictus Gaming Young,eStar Young,Kennen,Graves,Leblanc,Ezreal,Taric,Yorick,Olaf,Lissandra,Ashe,Nautilus
ESPORTSTMNT06/1190195,EM,Sector One,PIGSPORTS,MonkeyKing,RekSai,Syndra,Caitlyn,Thresh,Poppy,LeeSin,Ziggs,Kalista,Swain
ESPORTSTMNT03/1432952,VCS,Team Flash,GAM Esports,Ornn,Graves,TwistedFate,Kaisa,Pantheon,Renekton,Kindred,Sylas,Caitlyn,Bard
ESPORTSTMNT03/1334886,PCS,Liyab Esports,Nova Esports,Jayce,LeeSin,Zoe,Aphelios,Rakan,Irelia,XinZhao,Leblanc,Ashe,TahmKench
ESPORTSTMNT05/1440743,LCS,Evil Geniuses,FlyQuest,Aatrox,Kindred,Zoe,Kalista,Taric,Ornn,RekSai,Orianna,Xayah,Rakan
ESPORTSTMNT05/1390170,LEC,SK Gaming,Team Vitality,Ornn,RekSai,Velkoz,Aphelios,Braum,Aatrox,LeeSin,Cassiopeia,MissFortune,Leona
ESPORTSTMNT02/1403018,LCS.A,CLG Academy,FlyQuest Academy,Gangplank,Sett,Corki,Ezreal,Blitzcrank,Jayce,LeeSin,Azir,Caitlyn,Nautilus
6553-8846,LDL,All Combo,V5 87,Renekton,Trundle,Leblanc,Xayah,Thresh,Kennen,Sett,Kassadin,Ezreal,Bard
6639-8623,LPL,Vici Gaming,LGD Gaming,Gangplank,Lillia,Orianna,Senna,Nautilus,Ornn,Graves,Sylas,Ezreal,TahmKench
6005-7431,LPL,Royal Never Give Up,JD Gaming,Sett,Gragas,Irelia,Varus,Braum,Mordekaiser,LeeSin,Ornn,Senna,Rumble
5999-7415,LPL,Bilibili Gaming,FunPlus Phoenix,Renekton,RekSai,Leblanc,Varus,Thresh,Sett,LeeSin,Nautilus,Kaisa,Blitzcrank
6093-7651,LPL,FunPlus Phoenix,Rogue Warriors,Aatrox,Sett,Viktor,Kalista,Taric,Renekton,Nidalee,Azir,Varus,Braum
ESPORTSTMNT05/1440168,LEC,Rogue,FC Schalke 04 Esports,Irelia,Pantheon,Corki,Aphelios,Braum,Jax,Sejuani,Azir,MissFortune,Nautilus
ESPORTSTMNT05/1520065,TRA,Galatasaray Academy,Beşiktaş Academy,Sett,RekSai,Zoe,Aphelios,Thresh,Gangplank,Gragas,Cassiopeia,Ezreal,Karma
6594-8278,LPL,FunPlus Phoenix,Vici Gaming,Mordekaiser,LeeSin,Nautilus,Ashe,Thresh,Gangplank,Nidalee,Sett,Kaisa,Pantheon
5660-7262,LPL,Invictus Gaming,Dominus Esports,Kennen,Qiyana,Ekko,Varus,Braum,Irelia,JarvanIV,Rumble,MissFortune,Nautilus
6063-7537,LPL,Oh My God,Suning,MonkeyKing,Elise,Azir,Aphelios,Braum,Renekton,Sett,Akali,Kalista,Taric
5660-7263,LPL,Dominus Esports,Invictus Gaming,Akali,LeeSin,Leblanc,Varus,Leona,Kennen,RekSai,Rumble,MissFortune,Rakan
ESPORTSTMNT03/1334223,LJL,DetonatioN FocusMe,Fukuoka SoftBank Hawks gaming,Sett,Elise,Ornn,Ezreal,Braum,Mordekaiser,JarvanIV,Velkoz,Aphelios,Taric
6549-8829,LDL,optical spectrum E-sports,Suning-S,Ornn,Kindred,Zoe,Ashe,Thresh,Shen,Graves,Karma,Aphelios,Nautilus
ESPORTSTMNT06/1190915,EM,Fnatic Rising,SuppUp eSports,Gangplank,Pantheon,Azir,Senna,Trundle,Ornn,JarvanIV,Corki,Varus,Rakan
6481-8603,LDL,Royal Club,Shu Dai Xiong Gaming,Renekton,Graves,Galio,Xayah,Rakan,Maokai,Trundle,Corki,Ashe,Thresh
ESPORTSTMNT03/1432330,CK,RunAway,OZ Gaming,Mordekaiser,Evelynn,Lucian,Senna,Sett,Camille,Lillia,Akali,Ashe,Leona
ESPORTSTMNT02/1402574,LFL,GameWard,Team MCES,Kennen,Sett,Orianna,Ezreal,Karma,Renekton,LeeSin,Velkoz,Caitlyn,Thresh
5978-7367,LPL,Vici Gaming,Top Esports,Renekton,Elise,Lucian,MissFortune,Braum,Kennen,Olaf,Zoe,Kalista,Thresh
ESPORTSTMNT01/1434263,LCS.A,Evil Geniuses Academy,Immortals Academy,Volibear,Nidalee,Karma,Aphelios,Nautilus,Ornn,Olaf,Orianna,Ezreal,Bard
ESPORTSTMNT02/1294559,LJL,AXIZ,Fukuoka SoftBank Hawks gaming,Gangplank,Olaf,Viktor,Xayah,Yuumi,Irelia,Elise,Sett,MissFortune,Nautilus
6656-8737,LPL,Dominus Esports,LNG Esports,Renekton,Volibear,Orianna,Ezreal,Nautilus,Jayce,Trundle,Zoe,Aphelios,Thresh
ESPORTSTMNT05/1540104,LEC,G2 Esports,Team Vitality,Gnar,LeeSin,Zoe,Kalista,Nautilus,Malphite,Sett,Azir,Aphelios,Thresh
6177-7794,LDL,Rogue Warriors Shark,Bilibili Gaming Junior,Ornn,RekSai,Syndra,Aphelios,Leona,Vladimir,Graves,Fizz,Jayce,Karma
6652-8708,LPL,Rogue Warriors,Victory Five,Sett,Graves,Galio,Senna,Karma,Renekton,Nidalee,Kennen,Ashe,TahmKench
ESPORTSTMNT03/1340608,PCS,Talon Esports,Nova Esports,Maokai,JarvanIV,Azir,Senna,TahmKench,Renekton,Sylas,Pantheon,Varus,Yuumi
ESPORTSTMNT03/1392209,CK,RunAway,WhereAreyouFrom,Renekton,LeeSin,Syndra,Tristana,Nautilus,Aatrox,Trundle,Leblanc,Ezreal,Karma
ESPORTSTMNT02/1405217,VCS,GAM Esports,Team Secret,Volibear,Shyvana,Lucian,Jhin,Bard,Camille,Lillia,Sett,Caitlyn,Lux
ESPORTSTMNT01/1425770,LCK,Hanwha Life Esports,Afreeca Freecs,Renekton,Nidalee,Azir,Kalista,Rakan,Mordekaiser,Sett,Zoe,Ashe,TahmKench
6633-8575,LPL,LNG Esports,EDward Gaming,Kennen,Graves,Syndra,Kalista,Nautilus,MonkeyKing,Sett,Akali,Ashe,Braum
ESPORTSTMNT06/1310415,TCL,Galakticos,Papara SuperMassive,Irelia,Nidalee,Sett,Sona,Lux,Ornn,Graves,Zoe,Kalista,Thresh
ESPORTSTMNT03/1404084,OPL,ORDER,Chiefs Esports Club,Renekton,Volibear,Orianna,Ashe,Bard,MonkeyKing,Nidalee,Leblanc,Ezreal,Sett
ESPORTSTMNT02/1323408,OPL,Avant Gaming,Gravitas,Poppy,Olaf,Diana,Kalista,Taric,Darius,LeeSin,Leblanc,Vayne,Lulu
ESPORTSTMNT06/1160799,LCL,Unicorns Of Love.CIS,CrowCrowd,Sett,Karthus,Zed,Cassiopeia,Thresh,Mordekaiser,JarvanIV,Zoe,Kalista,Blitzcrank
ESPORTSTMNT02/1392465,CK,RunAway,Awesome Spear,Renekton,Olaf,Zoe,Sivir,Karma,Quinn,Elise,TwistedFate,Ezreal,Nautilus
ESPORTSTMNT02/1296625,CK,OZ Gaming,Element Mystic,Renekton,Sejuani,Ornn,Ezreal,Yuumi,Sylas,JarvanIV,Leblanc,Varus,Bard
ESPORTSTMNT06/1170600,LEC,SK Gaming,FC Schalke 04 Esports,Gangplank,Diana,Pantheon,Aphelios,Thresh,Vladimir,Gragas,Sett,MissFortune,Nautilus
ESPORTSTMNT01/1304374,LCS,100 Thieves,Team Liquid,Aatrox,Gragas,Orianna,Aphelios,Thresh,Gangplank,LeeSin,Syndra,Senna,TahmKench
6629-8549,LPL,Invictus Gaming,Top Esports,Jayce,Volibear,Orianna,Ashe,Nautilus,Ornn,LeeSin,Zoe,Ezreal,Braum
ESPORTSTMNT03/1404766,PCS,ahq eSports Club,Hong Kong Attitude,Renekton,Graves,Syndra,Aphelios,Nautilus,MonkeyKing,Volibear,Azir,Ezreal,Karma
ESPORTSTMNT02/1323018,LCK,SANDBOX Gaming,Gen.G,Gnar,Trundle,Azir,MissFortune,Yuumi,Sett,Elise,Akali,Ezreal,Taric
6530-8777,LDL,Victorious Gaming,Legend Esport Gaming,Ornn,Lillia,Leblanc,Ashe,Karma,Vladimir,Volibear,Sylas,Aphelios,Lux
ESPORTSTMNT03/1391798,Riot,Team Flash,Talon Esports,Ornn,RekSai,Zoe,MissFortune,Sett,Aatrox,Graves,Leblanc,Aphelios,Thresh
6374-8223,LDL,optical spectrum E-sports,Royal Club,Renekton,Ekko,Pantheon,Varus,TahmKench,Aatrox,Graves,Sylas,Aphelios,Thresh
ESPORTSTMNT02/1333463,LCK,Gen.G,DRX,Vladimir,JarvanIV,Azir,Varus,TahmKench,Ornn,Nocturne,Zoe,Kalista,Pyke
ESPORTSTMNT05/1510647,LCL,Gambit Esports,Vega Squadron,MonkeyKing,LeeSin,Ryze,Varus,Thresh,Mordekaiser,Trundle,Lucian,Karma,Soraka
ESPORTSTMNT02/1405493,LFL,Misfits Premier,GamersOrigin,Renekton,Volibear,Orianna,Ezreal,Braum,MonkeyKing,Skarner,Syndra,Kalista,Nautilus
ESPORTSTMNT02/1414453,BRCC,Havan Liberty Gaming,RED Canids,Ornn,Graves,Galio,Jinx,Morgana,Camille,Sett,Zoe,Caitlyn,Thresh
ESPORTSTMNT06/1190823,EM,Movistar Riders,FC Schalke 04 Evolution,Ornn,Trundle,Orianna,Varus,Bard,Gangplank,LeeSin,Syndra,Ezreal,Yuumi
6333-8075,LDL,eStar Young,Oh My Dream,Olaf,Karthus,Pantheon,Varus,Nautilus,Aatrox,RekSai,Zoe,Aphelios,Sett
6492-8638,LDL,EDG Youth Team,Dominus Esports Young,Jayce,LeeSin,Zoe,Ezreal,Bard,Volibear,Khazix,Syndra,Aphelios,Thresh
6426-8412,LDL,LGD Gaming Young Team,LinGan e-Sports,Ornn,Graves,Zoe,MissFortune,Nautilus,MonkeyKing,LeeSin,Orianna,Ashe,Sett
ESPORTSTMNT02/1295672,LFL,Team MCES,Solary,Aatrox,LeeSin,Azir,Xayah,Rakan,Gragas,JarvanIV,Cassiopeia,Aphelios,Braum
ESPORTSTMNT06/1190369,EM,K1ck Neosurf,MAD Lions Madrid,Ornn,Elise,Azir,MissFortune,Thresh,Renekton,LeeSin,Kassadin,Kalista,Alistar
ESPORTSTMNT06/1320563,EM,Intrepid Fox Gaming,mousesports,Shen,Khazix,Corki,Ashe,TahmKench,Urgot,Zac,Sylas,Kalista,Thresh
6335-8081,LDL,WanZhen Esports Club,Royal Club,Sylas,Graves,Draven,Lucian,Thresh,Jax,Trundle,Orianna,Ashe,TahmKench
6563-8874,LDL,LGD Gaming Young Team,Royal Club,Renekton,Karthus,Qiyana,Jhin,Nautilus,Ornn,Graves,Diana,Ashe,Pantheon
ESPORTSTMNT03/1352098,CBLOL,Flamengo Esports,Vivo Keyd,Ornn,Nocturne,Syndra,Kaisa,Nautilus,Poppy,Trundle,Azir,Ezreal,Yuumi
ESPORTSTMNT02/1292243,LFL,GameWard,IZI Dream,Aatrox,LeeSin,Cassiopeia,Xayah,Nautilus,Ornn,Gragas,Zoe,MissFortune,Thresh
ESPORTSTMNT02/1413461,OPL,Gravitas,Dire Wolves,Shen,Ekko,Orianna,Kalista,Thresh,Sett,Graves,Azir,Ezreal,Bard
6446-8482,LDL,Joy Dream,Top Esports Challenger,Mordekaiser,Olaf,Fizz,Aphelios,Thresh,Jax,Trundle,Talon,Kaisa,Rakan
ESPORTSTMNT03/1334671,LCS,Team Liquid,Counter Logic Gaming,Ornn,LeeSin,Viktor,MissFortune,Braum,Janna,Trundle,Syndra,Aphelios,Thresh
6333-8076,LDL,Oh My Dream,eStar Young,Mordekaiser,RekSai,Zoe,Sivir,Sett,Jax,Nidalee,Ornn,Ezreal,Karma
ESPORTSTMNT03/1432061,LJL,Sengoku Gaming,V3 Esports,Mordekaiser,Graves,Azir,Ashe,Sett,Renekton,Nidalee,Leblanc,Senna,Bard
ESPORTSTMNT01/1304356,LCS,Evil Geniuses,Counter Logic Gaming,Sett,Elise,Orianna,Xayah,Rakan,Soraka,JarvanIV,Syndra,Aphelios,Nautilus
6463-8539,LDL,LNG Academy,Vici Gaming Potential,Aatrox,Nidalee,Orianna,Jhin,Nautilus,Mordekaiser,Graves,Fizz,Ashe,Thresh
ESPORTSTMNT01/1295562,LJL,Rascal Jester,Fukuoka SoftBank Hawks gaming,Ornn,Elise,Renekton,Ashe,Bard,Aatrox,Gragas,Azir,Aphelios,Braum
ESPORTSTMNT02/1401619,PCS,ahq eSports Club,Alpha Esports,Renekton,LeeSin,Zoe,Ashe,TahmKench,Ornn,Olaf,Karma,Aphelios,Thresh
6207-7826,LPL,LGD Gaming,eStar,Hecarim,Olaf,TwistedFate,Ezreal,Yuumi,MonkeyKing,Graves,Galio,Kalista,Thresh
ESPORTSTMNT02/1293141,CK,hyFresh Blade,Asura,Mordekaiser,Nidalee,Renekton,Aphelios,Bard,Ornn,RekSai,Aatrox,Ezreal,Yuumi
ESPORTSTMNT01/1415532,PCS,Resurgence,Machi Esports,Shyvana,Nocturne,Orianna,Aphelios,Karma,MonkeyKing,Trundle,Syndra,Ezreal,Sett
6380-8237,LDL,All Combo,LGD Gaming Young Team,MonkeyKing,Graves,Galio,Xayah,Thresh,Renekton,LeeSin,Cassiopeia,Ashe,Braum
ESPORTSTMNT02/1331653,LLA,Furious Gaming,Azules Esports,Renekton,LeeSin,Ornn,Aphelios,Thresh,Fiora,JarvanIV,Cassiopeia,Varus,Sett
